,# x_m, y_m, w_tr_right_m, w_tr_left_m,psi_m
153,44.6946579607444,31.65111211712626,1.1,1.1,0.7162642619722394
154,44.988040439532845,31.90649569932188,1.1,1.1,0.7160722181532987
155,45.281488260514166,32.161837120245416,1.1,1.1,0.7154240988936448
156,45.57511795059899,32.417002583978146,1.1,1.1,0.7143203753956797
157,45.86904580333292,32.67185829460133,1.1,1.1,0.712760627253439
158,46.16338850120328,32.926270533984564,1.1,1.1,0.7107454753734278
159,46.45826241554401,33.18010558399745,1.1,1.1,0.7082746044113752
160,46.75378399547744,33.433229570932895,1.1,1.1,0.7055120599696871
161,47.05002612866392,33.68555529407876,1.1,1.1,0.7035023305758805
162,47.346782676042615,33.93729184845223,1.1,1.1,0.7026554272875287
163,47.64373789480293,34.188764778192805,1.1,1.1,0.7029723469408451
164,47.94057588655775,34.44030001638158,1.1,1.1,0.704453580889611
165,48.23698067513149,34.69222341831135,1.1,1.1,0.7071001709214363
166,48.532636284348605,34.94486083927487,1.1,1.1,0.7109133659445014
167,48.82722689361026,35.19853813456496,1.1,1.1,0.7158957291782997
168,49.120436448952574,35.45358131505102,1.1,1.1,0.7220487540774299
169,49.41194897420003,35.71031615823754,1.1,1.1,0.7285527795432938
170,49.701664978085134,35.96883398761787,1.1,1.1,0.7251841438182276
171,49.99217628980347,36.22630890892698,1.1,1.1,0.7050164795605803
172,50.28789817467337,36.4779387377188,1.1,1.1,0.6679939508710077
173,50.59328043602937,36.71888356220957,1.1,1.1,0.6144452398305982
174,50.91277303278265,36.94430354840405,1.1,1.1,0.5433470731970438
175,51.24998114263663,37.147973374453045,1.1,1.1,0.441579787880487
176,51.60318852178013,37.31493870163463,1.1,1.1,0.2971941142822055
177,51.96861247955257,37.426855098241774,1.1,1.1,0.10266107841345276
178,52.34246558020539,37.465370664888255,1.1,1.1,-0.1380469676381822
179,52.720683228188754,37.41282465145408,1.1,1.1,-0.3649321261097853
180,53.09131589219294,37.271226563735055,1.1,1.1,-0.5431075608001819
181,53.43358498824977,37.06461182728402,1.1,1.1,-0.703756771531584
